tweet,sentiment value
RT @EWein2412: Revealed: Women's rally against Trump in Edinburgh which attracted thousands was organised by girl AGED 16 https://t.co/rQzx…, -0.100000, 
RT @ProPublica: Trump said he's resigned from his businesses.   We checked.  He hasn't.   https://t.co/p9n9HgOI0T https://t.co/jpkwu3f8hk, 0.000000, 
When Trump told May  "drop by and see me sometime " our haughty diplomats laughed... TRUMP WINS AGAIN https://t.co/sPhpGmVWtv, 0.500000, 
RT @verge: Yesterday’s @POTUS transition didn’t go so smoothly for Twitter https://t.co/VETBLtz7cS https://t.co/g6j8koJlxt, 0.400000, 
RT @andahazi: Los progres están esperando que Página/12 les explique con qué se traga el sapo de Trump: https://t.co/DE3YeY0wnV, 0.000000, 
RT @Green_Footballs: Another disgusting pig heard from: the son of Trump's National Security Adviser. https://t.co/UkeDg2siHn, -1.000000, 
RT @maggieNYT: The WH press list that I've been on for 8 years and Trump campaign and transition lists I was on for 18 months  I've suddenl…, 0.000000, 
+Shut you lack adequate knowledge-Presidency replies Fayose over Trump's refusal  to invite Buhari-See statement https://t.co/4atMOU2aZL, 0.333333, 
Block the CIA don't let Trump in, 0.000000, 
RT @LadyZaiii: I need for Trump&amp; Pence to be treated like LBs when this all comes tumbling down. What ever happens to one  must happen to t…, -0.155556, 
RT @rmayemsinger: It's OFFICIAL #WomensMarchOnWashington is biggest inaugural protest in HISTORY. Sorry Mr. Trump  THIS is what a populist…, -0.500000, 
RT @cjcmichel: "Lots of straight white guys hate Trump too" #WomensMarch https://t.co/FieVnFbdwG, -0.200000, 
RT @rmayemsinger: It's OFFICIAL #WomensMarchOnWashington is biggest inaugural protest in HISTORY. Sorry Mr. Trump  THIS is what a populist…, -0.500000, 
RT @GillesKLEIN: Le gouvernement US ferme le compte Twitter de l'Interior Department qui a RT photos comparant foule serment Obama et Trump…, 0.000000, 
RT @ChrisCJackson: More people showed up for Boston's Women's March than Trump got for his entire Inauguration. One city beat him., 0.250000, 
RT @ALDFmorena: Propone AMLO a Peña plan frente a Trump https://t.co/dJrk3Lfelz, 0.000000, 
RT @jsavite: Trump. Day one. Perfection. https://t.co/p7gqNAOt6b, 0.000000, 
Trump absolutely HAS to address this #WomensMarch. He can't just ignore such a historical event., 0.066667, 
RT @HellaDro: Y'all niggas sound like bitches crying about trump he finessed everyone get over it, 0.100000, 
RT @ParkerMolloy: I imagine Trump is hearing about the #WomensMarch crowds like the Grinch surprised to hear he hasn't destroyed the spirit…, 0.100000, 
RT @ZIPERATlVO: "Minha mãe não gosta do Trump e ela gosta de todo mundo”. 😂 #WomensMarch https://t.co/37ICMirKNm, 0.000000, 
RT @washingtonpost: Justice Department opinion backs Trump on hiring of son-in-law https://t.co/4yU9De7zGy, 0.000000, 
RT @VeraMBergen: Women feel so strongly about Donald Trump that there was a #WomensMarch today in...Antarctica (photo from a friend) https:…, 0.433333, 
RT @InsafOo: Quelqu'un a changé le wikipédia de la Maison-Blanche pour l'arrivée de Trump 😭😭 https://t.co/bLPEqq6nXN, 0.000000, 
Sooo Trump admin tells National Park Service to halt tweets because he doesn't like it. So share and retweet this p… https://t.co/rRYP19krRj, 0.000000, 
RT @josh_withey: There are two types of men...  https://t.co/1oCH4MMOBm https://t.co/JR7LWA6yZE, 0.000000, 
RT @almayadeen_es: Mandatarios #latinoamericanos piden a #Trump respeto mutuo https://t.co/2EduLL67U8 https://t.co/gEHqYyFLoN, 0.000000, 
RT @American1765: #WomensMarch I'm here ... this March isn't about women. This is all the libtards who are pissed Trump won. It's the  ❄️#S…, 0.000000, 
RT @CNN: DC bakeshop says they were asked to recreate Obama inauguration cake for Trump https://t.co/1bFtlAPiHk https://t.co/rPTDL5A1N6, 0.000000, 
Shadow Men's $$$ insidious plan to “Dump Trump in 1 000 days” sources tell MD Nalapat @realDonaldTrump https://t.co/YJGdKtuHgb, 0.000000, 
RT @tgonzales0: This is how i picture all the anti-trump protests https://t.co/ZYnbm2Tv4u, 0.000000, 
RT @GeorgeLakoff: Being a minority president drives Trump crazy. Never stop reminding him that he lost the popular vote big league., 0.000000, 
RT @thehill: Trump didn't write his own inauguration speech despite claiming he did: report https://t.co/YlxtsmaErp https://t.co/xsYC3KpptH, 0.600000, 
Fact-checking President Trump's inaugural address https://t.co/VRnl9XiKIN, 0.000000, 
RT @rmayemsinger: It's OFFICIAL #WomensMarchOnWashington is biggest inaugural protest in HISTORY. Sorry Mr. Trump  THIS is what a populist…, -0.500000, 
RT @funder: #BREAKING:Docs reveal Trump opened 32 new companies in 10 countries since Election Day #trumpleaks #theresistance #womensmarch…, 0.136364, 
RT @jorgeramosnews: ¿Qué dice de este país si más gente va a la protesta de hoy en Washington que a la toma de posesión de Trump? #WomensMa…, 0.000000, 
